priority_rank,priority_score,frame_id,doi,title,year,query_ids,route_signal_title_abstract,access_signal_title_abstract,quant_signal_title_abstract,explicit_secondary_title,fulltext_triage_lane,openalex_ids,review_state
92,3,bib_94e64e0ef15a0c2f,10.3390/biology11081203,A Decrease in the Staminode-Mediated Visitor Screening Mechanism in Response to Nectar Robbers Positively Affects Reproduction in Delphinium caeruleum Jacq. ex Camb. (Ranunculaceae),2022,Q3|Q5,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4291000381,UNRESOLVED_DIRECTION_BLIND
93,3,bib_32f41f09f857e20b,10.1101/2022.05.16.492032,Cheaters among pollinators: Floral traits drive spatiotemporal variation in nectar robbing and thieving in Afrotropical rainforests,2022,Q3|Q4|Q6|Q8,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4280500629,UNRESOLVED_DIRECTION_BLIND
94,3,bib_17656738a56de327,10.1002/ecs2.4077,Nectar robbing rather than pollinator availability constrains reproduction of a bee‐flowered plant at high elevations,2022,Q3|Q5|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4282835713,UNRESOLVED_DIRECTION_BLIND
95,3,bib_05221cb1f2fdd354,10.3390/insects14050408,"Foraging Behavior of Two Pollen Wasp Species of the Genus Celonites Latreille, 1802 (Hymenoptera: Vespidae: Masarinae), from the Altai Mountains",2023,Q6,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4366988507,UNRESOLVED_DIRECTION_BLIND
96,3,bib_d58b1908944ad958,10.1093/jpe/rtad036,The conspicuously large bracts influence reproductive success in Thunia alba (Orchidaceae),2023,Q4,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4388594823,UNRESOLVED_DIRECTION_BLIND
97,3,bib_08e02fa6a4e05955,10.1007/s10980-024-01899-9,"Multiscale spatial analysis of two plant–insect interactions: effects of landscape, resource distribution, and other insects",2024,Q5,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4402186419,UNRESOLVED_DIRECTION_BLIND
98,3,bib_37032fe1400e10a8,10.1371/journal.pone.0312143,Socioecological drivers of mutualistic and antagonistic plant-insect interactions and interaction outcomes in suburban landscapes,2024,Q1|Q2|Q4,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4404399337,UNRESOLVED_DIRECTION_BLIND
99,3,bib_12852c2f74e2f976,10.1101/2024.04.25.591145,The Role of Similarity of Stimuli and Responses in Learning by Nectar-Foraging Bumble Bees: A Test of Osgood’s Model,2024,Q5|Q6,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4395954432,UNRESOLVED_DIRECTION_BLIND
100,3,bib_f2a43262ef895d35,10.53846/goediss-11131,Conservation of wild bees in agricultural landscapes through intercropping and habitat management,2025,Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4408361522,UNRESOLVED_DIRECTION_BLIND
101,3,bib_dcdd42f20d4dd53f,10.1007/s11829-025-10170-0,Drought stress and intercropping affect pollinator behavior via altered plant and flower traits in a legume,2025,Q3|Q4|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4413052621,UNRESOLVED_DIRECTION_BLIND
102,3,bib_1c336d52469ecbc3,10.1007/s13592-026-01300-5,Integrating morphological and molecular perspectives on foraging tactic constancy in a nectar-robbing bumble bee,2026,Q3|Q6|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7211909473,UNRESOLVED_DIRECTION_BLIND
103,3,bib_06f3796a44417123,10.1002/ece3.74123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,2026,Q1|Q3|Q5|Q6,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7196986504,UNRESOLVED_DIRECTION_BLIND
104,3,bib_590f6b0d1ab607fc,10.1002/ece3.73933,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens,2026,Q1|Q2|Q4|Q5|Q7,YES,NO,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7166545956,UNRESOLVED_DIRECTION_BLIND
105,2,bib_d6bd9f940759602d,10.3929/ethz-a-003910510,"Genetic variation, mating system, and nectar robbery in Aconitum lycoctonum (Ranunculaceae)",2000,Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W1038216564,UNRESOLVED_DIRECTION_BLIND
106,2,bib_40116bbe901f343f,10.1023/a:1011463520398,Reproductive biology and effect of nectar robbing on fruit production in Macleania bullata (Ericaceae),2001,Q5,YES,NO,NO,NO,NON_OA_RETAINED,W2111800605,UNRESOLVED_DIRECTION_BLIND
107,2,bib_c2c39b498d9d8a60,10.1006/anbo.2001.1485,Reproductive Isolation in a Native Population of Petunia sensu Jussieu (Solanaceae),2001,Q3|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2131965316,UNRESOLVED_DIRECTION_BLIND
108,2,bib_ede1eb7ee4fc3b00,10.4161/psb.4.9.9393,Nectar chemistry is tailored for both attraction of mutualists and protection from exploiters,2009,Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2169287124,UNRESOLVED_DIRECTION_BLIND
109,2,bib_1af162d92dce290a,10.1155/2010/927463,Large Carpenter Bees as Agricultural Pollinators,2010,Q3,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2006791638,UNRESOLVED_DIRECTION_BLIND
110,2,bib_e4c068bb554dbd6b,10.1111/j.1442-9993.2011.02320.x,Differential effects of anthropogenic edges and gaps on the reproduction of a forest‐dwelling plant: The role of plant reproductive effort and nectar robbing by bumblebees,2011,Q1|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W1499119639,UNRESOLVED_DIRECTION_BLIND
111,2,bib_7f8f649207fd20bd,10.1111/j.1469-8137.2011.03785.x,Selective seed abortion induced by nectar robbing in the selfing plant Comastoma pulmonarium,2011,Q1,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2101437210,UNRESOLVED_DIRECTION_BLIND
112,2,bib_79815198d6693b38,10.1100/2012/381575,Morphofunctional Traits and Pollination Mechanisms ofCoronilla emerusL. Flowers (Fabaceae),2012,Q5|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W1988052944,UNRESOLVED_DIRECTION_BLIND
113,2,bib_7faf7004c1a8365f,10.1007/s11284-013-1051-z,Community‐dependent foraging habits of flower visitors: cascading indirect interactions among five bumble bee species,2013,Q7,YES,NO,NO,NO,NON_OA_RETAINED,W2047606736,UNRESOLVED_DIRECTION_BLIND
114,2,bib_c525b9750b6f06a9,10.1111/1365-2745.12166,Nectar thieves influence reproductive fitness by altering behaviour of nectar robbers and legitimate pollinators in C orydalis ambigua ( F umariaceae),2013,Q3|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2019232228,UNRESOLVED_DIRECTION_BLIND
115,2,bib_b08ee59b8d6f2971,10.1007/s00606-013-0794-x,Pollinators and nectar robbers cause directional selection for large spur circle in Impatiens oxyanthera (Balsaminaceae),2013,Q1,YES,NO,NO,NO,NON_OA_RETAINED,W2062696305,UNRESOLVED_DIRECTION_BLIND
116,2,bib_5e5baa1e5cc7380a,10.1038/srep07721,Asymmetrical disassortative pollination in a distylous primrose: the complementary roles of bumblebee nectar robbers and syrphid flies,2015,Q3|Q5|Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2024969640,UNRESOLVED_DIRECTION_BLIND
117,2,bib_edcc26ef19db60fb,,Ecological and evolutionary implications of nectar robbery,2015,Q1|Q2|Q3|Q4|Q5|Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7141773724,UNRESOLVED_DIRECTION_BLIND
118,2,bib_170717bae4c34f7a,10.1093/aobpla/plv019,Rainwater in cupulate bracts repels seed herbivores in a bumblebee-pollinated subalpine flower,2015,Q4|Q5|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2159420147,UNRESOLVED_DIRECTION_BLIND
119,2,bib_80efe9320e3042aa,10.1002/ece3.3258,Phenotypic selection on flowering phenology and pollination efficiency traits between Primula populations with different pollinator assemblages,2017,Q3|Q4,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2750484439,UNRESOLVED_DIRECTION_BLIND
120,2,bib_bc57c52a0b0a4d48,10.1016/j.cois.2017.05.013,The behavioral ecology of nectar robbing: why be tactic constant?,2017,Q8,YES,NO,NO,NO,NON_OA_RETAINED,W2616831229,UNRESOLVED_DIRECTION_BLIND
121,2,bib_c5d86de6097c10d1,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,Q4|Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2898664981,UNRESOLVED_DIRECTION_BLIND
122,2,bib_285f0c14fc0f16a3,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2804358489,UNRESOLVED_DIRECTION_BLIND
123,2,bib_30b5a341b998d017,10.1002/ecy.2395,Costs and benefits of alternative food handling tactics help explain facultative exploitation of pollination mutualisms,2018,Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2803152041,UNRESOLVED_DIRECTION_BLIND
124,2,bib_b4dba108c4080830,10.1002/ecs2.2459,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,2018,Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2898342007,UNRESOLVED_DIRECTION_BLIND
125,2,bib_19293da9e4c1d3f6,10.1007/s00606-018-1543-y,Pollination biology and breeding system in five nocturnal species of Oenothera (Onagraceae): reproductive assurance and opportunities for outcrossing,2018,Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2893074675,UNRESOLVED_DIRECTION_BLIND
126,2,bib_27dded66dd1d4356,,Crypsis in non-flying mammal pollinated Proteaceae: novel adaptations and evidence of nectarivorous bird avoidance,2019,Q3|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3009089974,UNRESOLVED_DIRECTION_BLIND
127,2,bib_6d52910902151bfe,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Q1|Q2|Q4|Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3104024735,UNRESOLVED_DIRECTION_BLIND
128,2,bib_172833b541c798a2,10.1101/2020.06.10.143909,"Nectar larceny in the trainbearers ( Lesbia , Trochilidae)",2020,Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3034985661,UNRESOLVED_DIRECTION_BLIND
129,2,bib_0510c4fc01a42923,10.1093/aobpla/plab029,Do flowers removed of either nectar or pollen attract fewer bumblebee pollinators? An experimental test in Impatiens oxyanthera,2021,Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3166897683,UNRESOLVED_DIRECTION_BLIND
130,2,bib_298cf66f26e33b31,10.1002/ece3.8068,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,2021,Q3|Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3163315994,UNRESOLVED_DIRECTION_BLIND
131,2,bib_be1a4b1532143bef,10.22541/au.162028592.24138518/v1,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,2021,Q3|Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4244963952,UNRESOLVED_DIRECTION_BLIND
132,2,bib_140c730a1f020aa4,10.5281/zenodo.6470899,"Robo de néctar en plantas ornamentales en Santa Clara, Cuba Nectar robbing in ornamental plants in Santa Clara, Cuba",2021,Q3,YES,NO,NO,NO,NON_OA_RETAINED,W4287363617,UNRESOLVED_DIRECTION_BLIND
133,2,bib_ab1473f0b34aa734,10.5281/zenodo.6624946,"Robo de néctar en plantas ornamentales en Santa Clara, Cuba Nectar robbing in ornamental plants in Santa Clara, Cuba",2021,Q3,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4320855641,UNRESOLVED_DIRECTION_BLIND
134,2,bib_41784e8587a25d89,10.25221/fee.427.1,"Two new Nearctic genera in the tribe Odynerini s. str. revealed on the bionomics and morphology, with a comment on the cocoons of the eumenine wasps (Hymenoptera: Vespidae: Eumeninae)",2021,Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3133801514,UNRESOLVED_DIRECTION_BLIND
135,2,bib_0134dcf1a8d99b83,10.1007/s11829-022-09895-z,Bumblebee floral neighbors promote nectar robbing in a hummingbird-pollinated plant species in Patagonia,2022,Q7,YES,NO,NO,NO,NON_OA_RETAINED,W4220904079,UNRESOLVED_DIRECTION_BLIND
136,2,bib_ba9f652e4967f0a6,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,Q4|Q6|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4361191195,UNRESOLVED_DIRECTION_BLIND
137,2,bib_f2577ec500e81b01,10.22541/au.170361388.82743885/v1,"NECTAR ROBBING BY THE RED-TAILED COMET ( SAPPHO SPARGANURUS , TROCHILIDAE): THE VALUE OF CITIZEN SCIENCE TO DOCUMENT INFREQUENT BEHAVIOR IN BIRDS",2023,Q1|Q2,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4390226201,UNRESOLVED_DIRECTION_BLIND
138,2,bib_def87a0868b826b0,10.1038/s41598-024-55344-7,"Lack of pollinators selects for increased selfing, restricted gene flow and resource allocation in the rare Mediterranean sage Salvia brachyodon",2024,Q5,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4392297428,UNRESOLVED_DIRECTION_BLIND
139,2,bib_31c9a3599bb72584,10.3390/plants13030391,"Visual-, Olfactory-, and Nectar-Taste-Based Flower Aposematism",2024,Q4|Q7,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4391324404,UNRESOLVED_DIRECTION_BLIND
140,2,bib_bf5c36a20bd7f43e,10.3390/plants14152266,Spatiotemporal Variations in Nectar Robbing and Its Effects on Reproduction in Salvia castanea Diels (Lamiaceae),2025,Q3|Q5|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4412593772,UNRESOLVED_DIRECTION_BLIND
141,2,bib_96d70e34611cec03,10.1002/ece3.72812,Study on Floral Syndrome and Breeding System of an Endangered Species Rhododendron nymphaeoides,2025,Q5|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7116959948,UNRESOLVED_DIRECTION_BLIND
142,2,bib_7733e6754af71934,10.1111/aje.70062,The Structure of Sunbird Floral Visitation and Pollen Transport Networks From an Afrotropical Agricultural Landscape,2025,Q3|Q5|Q6,YES,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4410974607,UNRESOLVED_DIRECTION_BLIND
143,1,bib_4b90e640ac4e5193,,Colored floral organs influence pollinator behavior and pollen transfer in Commelina communis (Commelinaceae),2007,Q6,NO,NO,YES,NO,NON_OA_RETAINED,W2106679516,UNRESOLVED_DIRECTION_BLIND
144,1,bib_e4f4e6909f887990,10.1016/j.jinsphys.2020.104177,Floral tea polyphenols can improve honey bee memory retention and olfactory sensitivity,2020,Q6,NO,NO,NO,NO,ROUTE_PRESENT_ACCESS_UNRESOLVED,W3108793625,UNRESOLVED_DIRECTION_BLIND
145,1,bib_89032de33936f617,10.38059/biodiversity.814617,A review for the pollinators of Papilionaceous flowers,2021,Q4|Q5|Q7,YES,YES,NO,YES,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3142164350,UNRESOLVED_DIRECTION_BLIND
146,1,bib_4f3e9da01e33c940,10.1007/s11258-021-01162-0,Exotic insect pollinators and native pollination systems,2021,Q6,NO,NO,NO,NO,ROUTE_PRESENT_ACCESS_UNRESOLVED,W3189282736,UNRESOLVED_DIRECTION_BLIND
147,0,bib_e8bd4df2fe17833d,10.1007/s004420000580,Causes and consequences of floral damage in Aconitum lycoctonum at high and low elevations in Switzerland,2001,Q7,NO,NO,NO,NO,NON_OA_RETAINED,W2029202857,UNRESOLVED_DIRECTION_BLIND
148,0,bib_78d619cf798a16c8,,Reproduction and genetics in fragmented plant populations,2001,Q3|Q4|Q5,NO,NO,NO,NO,NON_OA_RETAINED,W1506908102,UNRESOLVED_DIRECTION_BLIND
149,0,bib_b10e9b456a404643,10.1051/apido:2004055,Foraging behavior and pollinating effectiveness of Osmia cornuta (Hymenoptera: Megachilidae) and Apis mellifera (Hymenoptera: Apidae) on ?Comice? pear,2004,Q6,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2111738423,UNRESOLVED_DIRECTION_BLIND
150,0,bib_fcae56bb368ff9eb,10.1051/apido:2006019,A century of advances in bumblebee domestication and the economic and environmental aspects of its commercialization for pollination,2006,Q6,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2068869349,UNRESOLVED_DIRECTION_BLIND
151,0,bib_33c1f2d9110f96fd,10.1016/j.biocon.2008.07.029,"Habitat and flower resource partitioning by an exotic and three native bumble bees in central Hokkaido, Japan",2008,Q6|Q7,NO,NO,NO,NO,NON_OA_RETAINED,W2134595804,UNRESOLVED_DIRECTION_BLIND
152,0,bib_e8cbfb432982d57a,,Keanekaragaman Makrozoobenthos Di Kawasan Perairan Kuala Tanjung Kecamatan Medang Deras Kabupaten Batubara,2011,Q3|Q5,NO,NO,NO,NO,NON_OA_RETAINED,W36009830,UNRESOLVED_DIRECTION_BLIND
153,0,bib_c23816cb58cf7df4,10.2111/1551-501x-33.3.20,The Hidden Benefits of Pollinator Diversity for the Rangelands of the Great Plains: Western Prairie Fringed Orchids as a Case Study,2011,Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W1990480896,UNRESOLVED_DIRECTION_BLIND
154,0,bib_c51c1a43e7b8eff2,10.2458/azu_rangelands_v33i3_travers,The Hidden Benefits of Pollinator Diversity for the Rangelands of the Great Plains: Western Prairie Fringed Orchids as a Case Study,2011,Q7,NO,NO,NO,NO,NON_OA_RETAINED,W4231772903,UNRESOLVED_DIRECTION_BLIND
155,0,bib_46c64ae3bfc18a92,,Dynamique évolutive de la gynodioécie chez Silene nutans et conditions de son maintien en populations,2013,Q4,NO,NO,NO,NO,NON_OA_RETAINED,W7143634250,UNRESOLVED_DIRECTION_BLIND
156,0,bib_2c6d7a128680d4c5,,Bumblebees' Bombus impatiens (Cresson) Learning: An Ecological Context,2014,Q6|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2609261019,UNRESOLVED_DIRECTION_BLIND
157,0,bib_f0e0efaf30f230ab,10.1007/s10336-014-1146-5,Morphological and behavioural adaptations to feed on nectar: how feeding ecology determines the diversity and composition of hummingbird assemblages,2014,Q1|Q3|Q4|Q6,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2009515057,UNRESOLVED_DIRECTION_BLIND
158,0,bib_fb2bf0a6fbfdc293,10.1016/j.ympev.2014.02.006,"Phylogenetics and diversification of tanagers (Passeriformes: Thraupidae), the largest radiation of Neotropical songbirds",2014,Q6,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2017093604,UNRESOLVED_DIRECTION_BLIND
159,0,bib_01f8d50b93a83f40,10.18960/seitai.64.2_101,共生関係にひそむ第三者 : 花蜜を利用する酵母・細菌が変える植物-送粉者相互作用,2014,Q3|Q5,NO,NO,NO,NO,NON_OA_RETAINED,W1482440340,UNRESOLVED_DIRECTION_BLIND
160,0,bib_0e9bfb452de6a504,10.1016/j.flora.2016.12.007,"Floral biology, nectar secretion pattern and fruit set of a threatened Bignoniaceae tree from Brazilian tropical forest",2016,Q3|Q5|Q6|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2564571744,UNRESOLVED_DIRECTION_BLIND
161,0,bib_26e8f323efe41652,10.1016/j.baae.2017.01.001,Invasive bumble bees reduce nectar availability for honey bees by robbing raspberry flower buds,2017,Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2578084137,UNRESOLVED_DIRECTION_BLIND
162,0,bib_16625e756d3fd68d,10.1016/bs.aecr.2016.10.007,Massively Introduced Managed Species and Their Consequences for Plant–Pollinator Interactions,2017,Q5|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W2572050383,UNRESOLVED_DIRECTION_BLIND
163,0,bib_1baf78f425aaef12,10.1016/j.baae.2017.08.001,The relation between oilseed rape and pollination of later flowering plants varies across plant species and landscape contexts,2017,Q7,NO,NO,NO,NO,NON_OA_RETAINED,W2744217359,UNRESOLVED_DIRECTION_BLIND
164,0,bib_26236df680e14a31,,"Diversidade funcional de abelhas e de plantas em áreas restauradas na parte sul da floresta atlântica, no município de Antonina (PR)",2018,Q5|Q6,NO,NO,NO,NO,NON_OA_RETAINED,W3005321011,UNRESOLVED_DIRECTION_BLIND
165,0,bib_60879bff3b334163,10.1007/s10682-018-9962-3,The relative strength of different floral visitors driving floral evolution within a Primula secundiflora population,2018,Q3,NO,NO,NO,NO,NON_OA_RETAINED,W2898669620,UNRESOLVED_DIRECTION_BLIND
166,0,bib_bacb02d22e086c49,10.1016/bs.aecr.2020.08.001,Invasive bees and their impact on agriculture,2020,Q6|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W3082112715,UNRESOLVED_DIRECTION_BLIND
167,0,bib_8fc78916b3933b8d,,Stratégies de diversification végétale et interactions entre insectes bénéfiques floricoles : quels impacts sur les communautés d’ennemis naturels et de pollinisateurs et sur le contrôle biologique des phytophages ?,2020,Q7,NO,NO,NO,NO,NON_OA_RETAINED,,UNRESOLVED_DIRECTION_BLIND
168,0,bib_ad44b35837e7a16f,10.1007/s11829-021-09843-3,Attraction of florivores and larcenists and interaction between antagonists in Senna rugosa (Fabaceae),2021,Q4,NO,NO,NO,NO,NON_OA_RETAINED,W3169138107,UNRESOLVED_DIRECTION_BLIND
169,0,bib_b9570129a74f5aa7,10.1007/s13592-021-00895-1,Nectar concentrating behavior by bees (Hymenoptera: Anthophila),2021,Q6|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4200061120,UNRESOLVED_DIRECTION_BLIND
170,0,bib_ac935441f5619bb1,10.1007/s13592-022-00944-3,Deconstructing and contextualizing foraging behavior in bumble bees and other central place foragers,2022,Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4283205200,UNRESOLVED_DIRECTION_BLIND
171,0,bib_a4fb6e5b76fb2a53,10.1007/s13592-023-01024-w,A scientific note on pollinators’ ability to overcome exploitation barriers: deep hummingbird-evolved corollas and small-sized bees,2023,Q1,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4386098228,UNRESOLVED_DIRECTION_BLIND
172,0,bib_126c39175772c1a1,10.1016/j.agee.2023.108410,"Wild plants in hedgerows and weeds in crop fields are important floral resources for wild flower-visiting insects, independently of the presence of intercrops",2023,Q5|Q7,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4321196219,UNRESOLVED_DIRECTION_BLIND
173,0,bib_9823e07a94137837,10.21203/rs.3.rs-3973961/v1,"WITHDRAWN: Floral biology, pollinators and reproductive success of Abutilon grandifolium in urban green spaces of Ciudad Autónoma de Buenos Aires",2024,Q5|Q6,NO,NO,NO,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4393144327,UNRESOLVED_DIRECTION_BLIND
